Pages,Clicks,Impressions,CTR,Position
https://www.artsy.net/artist/kenny-scharf,487,20162,2.42%,5.0
https://www.artsy.net/artist/martin-whatson,485,8864,5.47%,5.6
https://www.artsy.net/artist/brian-calvin,481,5148,9.34%,4.5
https://www.artsy.net/artist/manolo-valdes,481,10010,4.81%,5.4
https://www.artsy.net/artist/todd-james,480,5303,9.05%,5.0
https://www.artsy.net/artist/john-marin,480,10902,4.4%,5.1
https://www.artsy.net/artist/giuseppe-penone,480,13948,3.44%,8.2
https://www.artsy.net/artist/sister-mary-corita-kent,480,24792,1.94%,6.1
https://www.artsy.net/artist/lina-iris-viktor,479,7717,6.21%,5.9
https://www.artsy.net/artist/syed-haider-raza,478,22471,2.13%,7.7
https://www.artsy.net/artist/thomas-demand,478,18147,2.63%,5.9
https://www.artsy.net/artist/zhang-huan,477,13919,3.43%,6.5
https://www.artsy.net/artist/yves-scherer,477,2973,16.04%,6.1
https://www.artsy.net/artist/math-bass,476,4979,9.56%,6.9
https://www.artsy.net/artist/pierre-huyghe,475,18883,2.52%,6.8
https://www.artsy.net/artist/fernando-de-szyszlo,474,20895,2.27%,4.7
https://www.artsy.net/artist/etel-adnan,472,14086,3.35%,5.9
https://www.artsy.net/artist/richard-hamilton,472,39770,1.19%,8.7
https://www.artsy.net/artist/mel-bochner,471,14528,3.24%,5.9
https://www.artsy.net/artist/pose,471,14235,3.31%,7.9
https://www.artsy.net/artist/ethan-cook,469,3645,12.87%,4.0
https://www.artsy.net/artist/ellen-gallagher,468,15962,2.93%,5.6
https://www.artsy.net/artist/conrad-jon-godly,468,6744,6.94%,4.5
https://www.artsy.net/artist/anni-albers,468,23453,2%,7.3
https://www.artsy.net/artist/robert-indiana,468,44330,1.06%,6.9
https://www.artsy.net/artist/eduardo-chillida,467,19501,2.39%,5.5
https://www.artsy.net/artist/jon-rafman,465,17246,2.7%,5.7
https://www.artsy.net/artist/d-star-face,464,119120,0.39%,7.3
https://www.artsy.net/artist/ken-price,464,16703,2.78%,5.5
https://www.artsy.net/artist/andy-dixon,462,5659,8.16%,5.3
https://www.artsy.net/artist/masao-yamamoto,462,15103,3.06%,6.2
https://www.artsy.net/artist/giorgio-de-chirico,462,75787,0.61%,6.7
https://www.artsy.net/artist/jose-davila,462,7630,6.06%,5.0
https://www.artsy.net/artist/heather-day,461,11006,4.19%,6.3
https://www.artsy.net/artist/martha-rosler,460,19940,2.31%,5.1
https://www.artsy.net/artist/nicolas-party,460,7808,5.89%,6.1
https://www.artsy.net/artist/nandipha-mntambo,460,7074,6.5%,4.7
https://www.artsy.net/artist/ian-davenport,460,12057,3.82%,6.0
https://www.artsy.net/artist/sean-scully,457,19656,2.32%,6.8
https://www.artsy.net/artist/august-sander,457,30494,1.5%,6.5
https://www.artsy.net/artist/carmen-herrera,456,19560,2.33%,7.4
https://www.artsy.net/artist/glenn-ligon,455,26111,1.74%,6.0
https://www.artsy.net/artist/david-salle,455,25111,1.81%,5.9
https://www.artsy.net/artist/eadweard-muybridge,454,51831,0.88%,7.9
https://www.artsy.net/artist/patrick-caulfield,449,29144,1.54%,7.3
https://www.artsy.net/artist/roa,449,11360,3.95%,8.6
https://www.artsy.net/artist/ann-veronica-janssens,449,8627,5.2%,5.7
https://www.artsy.net/artist/auguste-rodin,448,77030,0.58%,9.6
https://www.artsy.net/artist/sarah-morris,448,20093,2.23%,5.3
https://www.artsy.net/artist/jose-parla,447,10380,4.31%,4.5
https://www.artsy.net/artist/lynda-benglis,447,21367,2.09%,5.0
https://www.artsy.net/artist/sharon-core,446,5218,8.55%,5.9
https://www.artsy.net/artist/lita-cabellut,446,10575,4.22%,6.2
https://www.artsy.net/artist/alison-saar,445,7035,6.33%,4.8
https://www.artsy.net/artist/geraldine-javier,445,3257,13.66%,3.8
https://www.artsy.net/artist/luc-tuymans,445,23126,1.92%,5.9
https://www.artsy.net/artist/joel-meyerowitz,445,22857,1.95%,7.9
https://www.artsy.net/artist/bernard-buffet,445,23990,1.85%,7.1
https://www.artsy.net/artist/gordon-parks,444,46764,0.95%,9.3
https://www.artsy.net/artist/marta-minujin,442,13508,3.27%,6.5
https://www.artsy.net/artist/michelangelo-pistoletto,442,18214,2.43%,6.2
https://www.artsy.net/artist/betty-tompkins,441,10497,4.2%,7.7
https://www.artsy.net/artist/haroshi,439,6969,6.3%,7.5
https://www.artsy.net/artist/julian-schnabel,439,54570,0.8%,7.0
https://www.artsy.net/artist/gilbert-and-george,439,20892,2.1%,8.5
https://www.artsy.net/artist/patrick-hughes,439,25744,1.71%,8.0
https://www.artsy.net/artist/walton-ford,439,14366,3.06%,6.6
https://www.artsy.net/artist/matthew-barney,438,46110,0.95%,7.5
https://www.artsy.net/artist/carole-a-feuerman,436,12319,3.54%,5.9
https://www.artsy.net/artist/lucas-arruda,435,4702,9.25%,4.9
https://www.artsy.net/artist/eva-hesse,435,28320,1.54%,8.5
https://www.artsy.net/artist/howard-tangye,435,3163,13.75%,4.2
https://www.artsy.net/artist/thomas-hart-benton,434,20944,2.07%,8.3
https://www.artsy.net/artist/soey-milk,433,9220,4.7%,5.3
https://www.artsy.net/artist/marco-grassi-slash-grama,432,8074,5.35%,6.3
https://www.artsy.net/artist/danny-oconnor,432,9827,4.4%,7.1
https://www.artsy.net/artist/rudolf-stingel,430,10885,3.95%,4.3
https://www.artsy.net/artist/paula-modersohn-becker,430,19070,2.25%,5.9
https://www.artsy.net/artist/margaret-bourke-white,430,34984,1.23%,8.9
https://www.artsy.net/artist/jr,429,33581,1.28%,9.5
https://www.artsy.net/artist/tauba-auerbach,429,15322,2.8%,4.8
https://www.artsy.net/artist/guy-bourdin,429,23127,1.85%,7.9
