,Clicks,Impressions,inquiry_requests_count,bid_count,on_artsy,search_volume,artist_slug,domain,gallery_tier,lead_id,account_id,min_distance_to_art_city,partner_on_artsy
4013,16868.0,3237297.0,7030.0,981.0,11.0,274690.0,23,pinakothek.de,,00QC000001ejazYMAQ,,3217.2964301211628,False
4021,3273.0,1460902.0,232.0,6.0,4.0,206700.0,6,pishposhpaints.com,,00QC000001ehbyJMAQ,,3217.2964301211628,False
4023,5328.0,572811.0,3511.0,766.0,10.0,57570.0,25,pissarro.com,,00QC000001eitWkMAI,,13.150548218895691,False
4024,,,0.0,0.0,1.0,1600.0,5,pixperf.com,,00QC000001k6ioVMAQ,,4215.512162379145,False
4031,9072.0,2438014.0,3362.0,574.0,2.0,179500.0,25,pljoesjkin.be,,00QC000001ehc2tMAA,,183.89452225741323,False
4040,1642.0,87016.0,226.0,5.0,6.0,10340.0,19,pointlight.com.au,,00QC000001ei8yYMAQ,,3217.2964301211628,False
4041,,,223.0,59.0,1.0,4750.0,25,poleschiarte.com,,,,3217.2964301211628,False
4043,7131.0,531692.0,3838.0,822.0,16.0,46650.0,25,polizzifineart.com,,00QC000001eizgXMAQ,,3217.2964301211628,False
4045,5820.0,1354529.0,7881.0,1158.0,3.0,278110.0,8,pollockfineart.com,,00QC000001bbZXDMA2,,3217.2964301211628,False
4047,,,0.0,0.0,1.0,7080.0,14,polyglotgallery.com,,00QC000001eixmhMAA,,3217.2964301211628,False
4050,10325.0,1282379.0,7672.0,983.0,2.0,96380.0,8,popartgalaxie.com,,00QC000001k6gEnMAI,,181.01702206069928,False
4052,,,1.0,0.0,1.0,530.0,9,poppysebire.com,,00QC000001k6iorMAA,,3217.2964301211628,False
4057,384.0,11308.0,172.0,1.0,1.0,760.0,25,portjacksonpress.com.au,,00QC000001eiANtMAM,,3217.2964301211628,False
4058,,,42.0,0.0,2.0,1210.0,23,portlandart.net,,00QC000001k6iotMAA,,3217.2964301211628,False
4060,,,20.0,1.0,1.0,750.0,25,portrait.gov.au,,00QC000001k6iovMAA,,4584.334780252342,False
4064,1805.0,61924.0,1460.0,179.0,5.0,7840.0,12,posnerfineart.com,,00QC000001ejSrYMAU,,3217.2964301211628,False
4072,1095.0,17250.0,479.0,39.0,2.0,2540.0,6,pratt.edu,,00QC000001k7mWPMAY,,3217.2964301211628,False
4084,,,6.0,0.0,1.0,260.0,25,priory-art.co.uk,,,,3217.2964301211628,False
4090,,,1.0,7.0,1.0,1330.0,24,prochoice.at,,00QC000001k6gcwMAA,,271.1590198958663,False
4093,268.0,8178.0,36.0,0.0,3.0,10840.0,25,progressiveart.com,,00QC000001eiXhFMAU,,3217.2964301211628,False
4099,,,0.0,1.0,3.0,140.0,25,projekt722.com,,00QC000001ej5cYMAQ,,3217.2964301211628,False
4103,,,31.0,1.0,3.0,390.0,23,promo-arte.com,,00QC000001ehO60MAE,,3217.2964301211628,False
4104,,,678.0,43.0,6.0,1100.0,23,pron.it,,00QC000001k6jjQMAQ,,3217.2964301211628,False
4105,,,24.0,3.0,3.0,400.0,17,proof-gallery.com,,00QC000001eiuPpMAI,,3217.2964301211628,False
4106,,,14.0,1.0,1.0,1110.0,3,prospectfirestation.org,,00QC000001k6isHMAQ,,3488.9837647302184,False
4108,30109.0,6279078.0,9913.0,1860.0,15.0,362320.0,26,prospectplacefineart.com,,00QC000001ejAsMMAU,,3217.2964301211628,False
4113,12225.0,2417463.0,7098.0,1266.0,11.0,144990.0,24,pruebadeartista.com,,00QC000001k6isKMAQ,,3217.2964301211628,False
4119,487.0,3903.0,27.0,38.0,1.0,1360.0,25,puffinroom.org,,00QC000001eivvcMAA,,3217.2964301211628,False
4120,2928.0,197979.0,915.0,37.0,4.0,35710.0,12,pug.no,,00QC000001ehDKyMAM,,3217.2964301211628,False
4123,713.0,60740.0,93.0,7.0,3.0,18890.0,4,purvisyoungmuseum.com,,,001C000001XDT3KIAX,3217.2964301211628,False
4124,,,120.0,0.0,1.0,1570.0,25,pygmalion-art.com,,00QC000001dvniuMAA,,3217.2964301211628,False
